,id,lb
1,T0015_T0030,7521.390094
2,T0001_T1001,7303.952265
3,T0015_T1007,4861.620729
4,T0015_T0021,4080.426661
5,T0015_T0014,3940.329401
6,T0030_T0003,3517.616222
7,T0030_T0029,1877.694078
8,T0001_T0014,1442.181796
9,T0030_T0031,1415.849477
10,T0029_T1005,1287.970345
12,T0029_T1004,1192.827034
13,T0001_T0019,983.1385537
14,T0030_T0021,913.0670756
15,T0030_T0026,837.3739974
16,T0030_T0041,753.4098564
17,T0030_T0014,584.3591716
18,T0030_T0022,518.465679
19,T0030_T0019,416.9995878
20,T0030_T0028,385.1742725
